Character Name,Alternative Name,Category,Description,Source References,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akan Vader,Akanbeda,Villain,"Invaders who attacked Planet Lilliput. Akan Vader wears a mask covering his face. He captured Princess Are Okkana near Earth, then landed on Earth. He secretly built a base in the attic of Gian's house with the aim of conquering Earth. His battleship is enormous and incredibly strong. As a military commander, he was somewhat absent-minded, leaving no guards at the base and sending the entire army out for a meal. Based on Darth Vader from Star Wars.","TenComi Volume 19, Page 37; FF Land Volume 21, Page 141; Complete Works Volume 8, Page 305",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Person Who Threw Away the Empty Cans,,Unnamed Character,"Someone who threw an empty drink can into someone's yard. This person has an afro, wears sunglasses, and has a beard.","Color Volume 4, Page 72; Complete Works Volume 13, Page 59",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Burglar,,Thief,"A burglar tried to break into Mr. Torigoe's house wearing sunglasses. The burglar tracked the residents movements and climbed over the fence to enter. However, Nobita and Doraemon were at home because they had read the next day's newspaper using the Newspaper Date Change Post, and knew the burglary was planned. The burglar gave up and went home.","TenComi Volume 25, Page 176; FF Land Volume 31, Page 42; Complete Works Volume 11, Page 384",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Landlord of Vacant Land,Owner of the Vacant Lot,Old Man,The old man who owns the vacant lot where Nobita built a house using the Camping Capsule without permission. He came to complain about this unauthorized construction.,"The Epic Volume 9, Page 12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devil,,Demon,"A demon summoned by Nobita using a demon-summoning tool. He was a very humble demon, crying and saying that hardly anyone called on him anymore these days. He gave Nobita the Devil Card.","TenComi Volume 22, Page 76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akuma,Akumaan,TV Villain,"The villain from the TV show Nobita watches every week. Thanks to the peace signals emitted from the Peace Antenna by his arch-enemy Mutekiman, he ended up becoming friends with Mutekiman.","TenComi Volume 25, Page 114",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demon Race (Magical World),Demon Tribe,Aliens,"In a magical world, demons and monsters are said to have existed on Earth long ago. They possess tremendous magical power. Originally, they were not Earthlings, but aliens from another celestial body called the Demon Realm.","The Longest Volume 5, Page 79",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demon Race (Animal Planet),Demon Tribe,Aliens,"On Animal Planet, a race is said to have ruled the moon visible from Nimge. Legend says that long ago on the moon, they oppressed the ancestors of Animal Planet.","The Longest Volume 10, Page 67",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akuma Robo Black,,TV Character,A character that appeared on TV Nobita was watching. He was hit with a swift punch by Grand Robo Deluxe.,"FF Land Volume 3, Page 99; Plus Volume 4, Page 57; Complete Works Volume 4, Page 533",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villain Star,,Character,"Having lost his memory, he went into houses one by one searching for his own home. The Forgetful Hammer drives him crazy if he hits his head too hard with it.","TenComi Volume 5, Page 51; FF Land Volume 3, Page 125; Complete Works Volume 1, Page 212",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asare-chan,,Merchandise Character,A character whose related merchandise Shizuka collects.,"TenComi Volume 28, Page 149",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aston,,Boy,A boy on a mystery tour and the son of a billionaire. Jane is Aston's friend. His body was taken over by a parasite.,"The Longest Novel Volume 16, Page 66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aston's Dad,,Billionaire,"Aston's father and a billionaire. He invested funds to rebuild Dreamersland, which was destroyed in an attack by Yadori.","The Longest Novel Volume 16, Page 66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam (Nobita Explaining),Adam,Biblical Figure,"This figure appeared when Nobita explained to Shizuka that it was right to be naked. Adam is a figure from the Bible, considered the first human created by God.","TenComi Volume 32, Page 147",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam (Garden of Eden),Adam,Biblical Figure,"One of the ancestors of humankind who lived in the Garden of Eden with Eve. Adam ate the fruit of the Tree of Knowledge, which God had forbidden him to eat, and was expelled from Eden. This appeared in the book The Beginning of the World, which Nobita took from Takahiro.","The Longest Volume 15, Page 6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adamsen,,Documenter,"This character appeared in materials created by Nobita for the public debate Does Nessie Exist or Not?. In 565, Adamsen wrote about the dragon in his Life of Saint Columba regarding Loch Ness.","TenComi Volume 6, Page 126",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prince Adolf,Adolf Denka,Royalty,"The Crown Prince of the Principality of Littlestein. During Shizuka's visit to Japan, she attached a letter to a balloon and released it into the air. The prince picked it up in front of the State Guest House.","TenComi Volume 39, Page 104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ichiro Abaratani,Abaraya Ichiro,Student,"He lives in a small house with his mother and six siblings. The Christmas party was to be held at his house, but it was too small, so Doraemon solved the problem using gravity paint.","TenComi Volume 5, Page 21; FF Land Volume 13, Page 96; Complete Works Volume 3, Page 286",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abaratani-Kun's Mother,Abaraya-Kun's Mother,Parent,"Abaratani Ichiro's mother raises six children in a small house. She prepared to leave the house for her son, who promised to attend a Christmas party.","TenComi Volume 5, Page 22; FF Land Volume 13, Page 97; Complete Works Volume 3, Page 287",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abaratani Jiro,Abaraya Jiro,Sibling,Abaratani Ichiro's brother.,"TenComi Volume 5, Page 23; FF Land Volume 13, Page 98; Complete Works Volume 3, Page 288",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Old Man Who Runs the Dilapidated House,Old Man in the Dilapidated House,Shop Owner,The owner of a traditional Japanese confectionery shop that looks dilapidated and is on the verge of closing. The sweets taste really good.,"TenComi Volume 14, Page 29; FF Land Volume 32, Page 53; Complete Works Volume 4, Page 579",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abare-chan,,Robot,The main character of Dr. Stop Abare-chan. She is a strong and cute girl robot.,"TenComi Volume 31, Page 148; TenComi Volume 35, Page 48; FF Land Volume 44, Page 98; Complete Works Volume 15, Page 58",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abzil,,Slave Trader,"An Arabian slave trader who tried to capture Shizuka and sell her off. He had been rescued by Sinbad in the past and taken to the Golden Palace, and now he wants to seize the Golden Palace.","Long Series Volume 11, Page 120",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abdullah,,Alias,The name Doraemon used when introducing himself to King Harun al-Rashid.,"Long Series Volume 11, Page 65",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
News Announcer Sub-Branch,,News Announcer,The name of the news announcer that Nobita's dad was watching.,"TenComi Volume 36, Page 159; FF Land Volume 44, Page 181; Complete Works Volume 13, Page 439",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amachi Mari,,Singer,A professional singer selected to appear on the TV show Let's Become a Star. Gian aimed to win the championship and copied the voiceprint using a machine that captures voiceprint characteristics and turns them into candy.,"TenComi Volume 8, Page 43; FF Land Volume 13, Page 23; Complete Works Volume 2, Page 419",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amano Sorao,,Anime Character,He appears in an anime that Gian watches in his room on the Galaxy Express. He is a fantasy-loving elementary school student.,"The Longest Novel Volume 16, Page 36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hoshio Amano,Amano Hoshio,Singer,"A singer that Shizuka is a huge fan of. Shizuka wanted an autograph, so she sent a letter to the Get a Reply in Advance Postbox, but she did not receive a reply.","TenComi Volume 2, Page 185; FF Land Volume 8, Page 145; Complete Works Volume 1, Page 753",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amu,,Robot Ancestor,"One of the ancestors of robots in Mechatopia. Created 30,000 years ago by a scientist who had become disillusioned with humanity.","The Longest Series Volume 7, Page 193",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ayano Trilleau,,String Figure Artist,A professional string figure artist who attempted the Great Finger trick. Her signature move is Great Forest.,"TenComi Volume 15, Page 184",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arakawashi Kamen,Arawashikamen,TV Hero,"The TV hero that Nobita watched. He wears a mask resembling an eagle. His body is decorated with a cape, but the legs are quite simple. He fights using long swords as his weapon.","TenComi Volume 12, Page 62; FF Land Volume 11, Page 88; Complete Works Volume 4, Page 502",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ant (Nobita's Alias),Ant Alias,Alias,The name Nobita used when introducing himself to King Harun al-Rashid.,"Long Series Volume 11, Page 65",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arsene Lupin,,Literary Character,A master thief who appears in the works of French novelist Maurice Leblanc. Nobita used Arsene Lupin as a metaphor when he stole a book using the Devil's Passport.,"TenComi Volume 13, Page 141",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andersen,Hans Christian Andersen,Author,"Hans Christian Andersen was a Danish children's book author. He wrote The Little Match Girl, The Little Mermaid, The Ugly Duckling, and The Emperor's New Clothes.","TenComi Volume 8, Page 125; TenComi Volume 17, Page 92; FF Land Volume 23, Page 106; FF Land Volume 34, Page 125; Complete Works Volume 6, Page 147; Complete Works Volume 7, Page 344",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anna,Siamese Cat,Pet Cat,A purebred Siamese cat kept as a pet in Suneo's house. Anna was found when Suneo's mother's 10 million yen diamond went missing.,"TenComi Volume 30, Page 66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambrose Bierce,,Writer,"An American writer who disappeared in late 1913 after traveling to Mexico during the revolution. His last known letter was dated December 26, 1913, from Chihuahua, Mexico.","The Longest Series Volume 9, Page 65",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
King Unluck,Unluck King,Ruler,"The king who rules the planet Chamocha. Due to Dr. Napogistler's machinations, the planet Chamocha has been taken over.","The Epic Volume 13, Page 90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Head of the Flower Arrangement School,Iemoto-San,Flower Arrangement Master,The head of the flower arrangement school that Nobita's mother practices. He noticed her flower arrangement at the exhibition and praised its quality.,"TenComi Volume 28, Page 114; FF Land Volume 35, Page 162; Complete Works Volume 11, Page 508",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ikaji Family,,Unknown,"The name that appeared in Shizuka's dream, inscribed on a tombstone.","Complete Works Volume 3, Page 64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Foreigner Who Collapsed from Exhaustion,,Dutchman,A Dutchman was found collapsed in an empty lot. He was rescued by Kawaru-kun and had a picture of Momotaro.,"TenComi Volume 9, Page 163; FF Land Volume 19, Page 13; Complete Works Volume 5, Page 249",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junko Ikeuchi,,Celebrity Lookalike,"Nobita's mom said that when she saw her own smiling face, it looked just like Junko Ikeuchi's.","TenComi Volume 15, Page 86; FF Land Volume 8, Page 56; Complete Works Volume 2, Page 438",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sacrificial Daughter,Sacrifice Daughter,Woman,"A woman who lives on Futatsuyama. She was offered as a sacrifice to Shirakami-sama, but managed to escape.","Long Series Volume 15, Page 89",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ishikawa Goemon,,Historical Figure,"Appears to be an ordinary police officer, but his true identity is revealed by the Bowing Grasshopper. The Vietnam War, photochemical smog, and rising prices are comedically attributed to his doing. He repents of his evil deeds and throws himself into jail.","TenComi Volume 1, Page 94; FF Land Volume 3, Page 89; Complete Works Volume 1, Page 209",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Bullied Puppy,Bullied Puppy,Animal,"A small dog was tied to a tree in an empty lot. Thanks to the Animal Transformation Gratitude Potion, it came to Doraemon's house to repay him for saving it.","TenComi Volume 35, Page 106; FF Land Volume 44, Page 140; Complete Works Volume 12, Page 528",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ichi,,Stray Dog,"A stray dog became attached to Nobita after he fed it once. Nobita's mom found out he was secretly keeping it as a pet, so he used his time machine to take Ichi back 300 million years. Ichi, who was already intelligent, evolved due to the evolutionary radiation source and became the leader of other animals. He later established a nation and ruled as its first president.","TenComi Volume 22, Page 173; FF Land Volume 29, Page 161; Complete Works Volume 8, Page 577",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ichijoji Retsu,,Unknown,The address on an envelope was mixed in with Nobita's mail.,"TenComi Volume 38, Page 87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Issunboshi,,Picture Book Character,A character that appears in the picture book that Nobita owns.,"Long Series Volume 11, Page 26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Person Who Dropped the Bag Containing 10 Million Yen,,Man,"A man left a bag containing 10 million yen in a public telephone booth. He remembered halfway and went back, but the bag was already gone. He called out to Nobita, who was nearby, for help.","TenComi Volume 34, Page 50; FF Land Volume 29, Page 156; Complete Works Volume 10, Page 238",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Person Who Found the Bag Containing 10 Million Yen,,Man,A man found a bag containing 10 million yen in a public telephone booth. He ran as fast as he could and reported it to the police station.,"TenComi Volume 34, Page 50; FF Land Volume 29, Page 156; Complete Works Volume 10, Page 238",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Dog That Always Bites,Dog That Bites Nobita,Animal,A dog that always bites Nobita. He was bitten by Nobita using a One-Shot Reversal Bomb and ran away.,"Plus Volume 3, Page 67; Complete Works Volume 14, Page 343",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Child Who Is Always Timid and Nervous,,Boy,"A boy who is Nobita's friend. The child is quick-tempered, easily frightened, and always timid and nervous. The boy did not want to go back to his grandfather's house, so he stood outside in the cold winter.","FF Land Volume 22, Page 121; Complete Works Volume 6, Page 403; Plus Volume 6, Page 97",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Grandfather of the Timid Child,Old Man Who Is Always Timid and Nervous,Old Man,The grandfather of a child who gets angry at the slightest thing and is always timid and nervous.,"FF Land Volume 22, Page 121; Complete Works Volume 6, Page 403; Plus Volume 6, Page 97",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tsubasa Ito,Ito Tsubasa,Female Idol,A female idol who is popular with Suneo and Doraemon fans. She was delivered to Nobita's house using a copying machine. She got caught up in a scuffle between Doraemon and Nobita and was knocked over. She frequently appears as a top idol. Suneo is an executive member of the Tsubasa Ito fan club.,"TenComi Volume 29, Page 170",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tsubasa Ito's Elementary School Teacher,,Teacher,A teacher who was very kind to Tsubasa Ito when she was in elementary school. He remains a trusted confidant for Tsubasa Ito. He is elderly and uses a wheelchair.,"Plus Volume 5, Page 48; Complete Works Volume 13, Page 660",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Itoyama-San,,Commentator,A commentator for the world title match for string figures.,"TenComi Volume 15, Page 181",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dog Police Officer,The Dog Policeman,Animal Police,"A dog cop in a winding city. Jack was speeding and crashed his car into a lamppost, completely wrecking it, so police cars rushed to the scene.","Long Novel Volume 17, Page 30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saburo Inuyama,Inuyama Saburo,Boy,A boy who mistakenly addressed Nobita's New Year's card to Taiyama Saburo.,"TenComi Volume 15, Page 168; FF Land Volume 25, Page 94; Complete Works Volume 4, Page 570",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taro Inuyama,Inuyama Taro,Father,"Saburo Inuyama's father. Thanks to the power of the Portable Parliament, the kanji characters were changed to Taizan Kenro.","TenComi Volume 15, Page 170; FF Land Volume 25, Page 96; Complete Works Volume 4, Page 572",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Girl Walking Her Dog (Gian's Crush 1),Girl Walking Her Dog,Girl,A girl Gian has a crush on. She often walks Benji in the park.,"TenComi Volume 44, Page 39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Girl Walking Her Dog (Gian's Crush 2),Girl Walking Her Dog,Girl,A girl Gian fell in love with. She was from Osaka and stayed at a relative's house for a while.,"TenComi Volume 29, Page 66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wild Boar,,Animal,"The large wild boar that chased Nobita's ancestor, Nobisaku. It was killed by Suneo's ancestor, Sunemaru.","TenComi Volume 1, Page 101; FF Land Volume 2, Page 8; Complete Works Volume 1, Page 354",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eve (Nobita Explaining),Adam and Eve,Biblical Figure,"This figure appeared when Nobita explained to Shizuka that it was right to be naked. Eve is a figure from the Bible, considered the second human created by God after Adam.","TenComi Volume 32, Page 147",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eve (Garden of Eden),Adam and Eve,Biblical Figure,"One of the ancestors of humankind who lived in the Garden of Eden with Adam. Eve ate the fruit of the Tree of Knowledge, which God had forbidden her to eat, and was expelled from Eden. This appeared in the book The Beginning of the World, which Nobita took from Takahiro.","The Longest Volume 15, Page 6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emu,,Robot Ancestor,"One of the ancestors of robots in Mechatopia. Created 30,000 years ago by a scientist who had become disillusioned with humanity.","The Longest Series Volume 7, Page 193",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iwao,Iwaotoko,Rock Golem,Shizuka created a giant rock golem using her Inanimate Object Hypnosis Megaphone.,"Long Series Volume 18, Page 157",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wu-Tang,Uutan,Mayor,The mayor of Animal Planet. He prayed to God and Nimge and devised a plan to fight. He is a leader of the townspeople who devoutly follow God's teachings.,"The Longest Volume 10, Page 147",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Old Man Tending Plants,Man Tending Plants,Old Man,"An old man was tending his plants when something hit him on the head over the fence. When he rushed out to investigate, he spotted Gian and Suneo passing by and suspected them. He has only one hair on top of his head.","TenComi Volume 3, Page 47; FF Land Volume 6, Page 13; Complete Works Volume 2, Page 492",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fish Frog,Uogaeru,Creature,"Creatures resembling fish with arms and legs that inhabit planet Koya Koya. In winter, they come ashore, burrow into soil, and hibernate.","The Longest Novel Volume 2, Page 38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee of Uotatsu,Uotatsu's Employee,Worker,"A male employee of the Senshin fish shop in Nobita's town. A cat thief stole a fish, and the employee chased after it with a kitchen knife.","FF Land Volume 10, Page 189; Complete Works Volume 4, Page 325; Plus Volume 6, Page 88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uginba-Kun,,Elephant,"An elephant living in Tanzania, Africa. He testified before the Noah Project council. His family was killed by poachers who wanted his ivory.","Long Series Volume 12, Page 158",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rabbit,,Doll,A doll that Shizuka was holding. Papi got on the rabbit and ran away while filming.,"The Longest Novel Volume 6, Page 15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minister of the Right,Udaijin,Official,A high-ranking official in the imperial court. He was cured of his illness by Sunemaro.,"The Longest Novel Volume 15, Page 134",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utabe,,Performer,"At a celebration marking escape from Gigazombie and arrival in Japan, a man from the Hikari tribe performed a song.","The Longest Series Volume 9, Page 125",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yumi Uchida,Uchida Yumi,Actress,A star appearing in a Japanese-American co-production film filmed in front of the train station.,"TenComi Volume 45, Page 191",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Space Monster (Space Exploration Pretend Play),Space Monsters,Toy Monster,"A monster that appears in Space Exploration Pretend Play. The monsters attack, but since they are made of rubber, players can play with them without worry.","TenComi Volume 29, Page 41; FF Land Volume 37, Page 9; Complete Works Volume 14, Page 154",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Space Monster Snail,Alien Snail,Dream Character,"Suneo appears in Nobita's dream. Apparently, Suneo loses a space war against Nobita in the dream.","TenComi Volume 28, Page 88; FF Land Volume 36, Page 92; Complete Works Volume 10, Page 607",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cosmic Monster,Space Monster,TV Monster,"A monster that appeared in Space Detective Saraba. Thanks to the One-Shot Comeback Bomb, he defeated the protagonist and brought the show to an end. In the video, he stepped on Space Detective Saraba with his foot, then smiled and made a triumphant gesture.","Plus Volume 3, Page 73; Complete Works Volume 14, Page 349",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aliens,,Space Visitors,Nobita found a balloon he was remotely controlling with the Long-Range Balloon Letter Controller. The balloon arrived at Nobita's house late at night with a letter attached. The sender seemed to understand Japanese.,"TenComi Volume 39, Page 109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Space Tarzan,Uchuu Tarzan,TV Hero,"Nobita's favorite TV hero. He was naked from the waist up, wearing only cloth on his lower body, and holding something resembling a dagger in his left hand. He appeared riding a dinosaur, screaming Ahhh ahhh ahh, and defeated bad guys. The show aired from 5 o'clock.","TenComi Volume 16, Page 167; TenComi Volume 31, Page 10; FF Land Volume 21, Page 159; FF Land Volume 38, Page 28; Complete Works Volume 7, Page 365; Complete Works Volume 12, Page 250",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Actor Who Played Space Tarzan,,Actor,"The man playing Space Tarzan had a large, muscular build. He met Nobita in the park and sadly told him the show was likely to be cancelled. Moved by Nobita's genuine enthusiasm, the actor believed in Nobita's proposal and persuaded the director and others.","TenComi Volume 16, Page 169; FF Land Volume 21, Page 161; Complete Works Volume 7, Page 367",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great Demon King of the Universe,Great Demon King of Space,Movie Villain,"The villain from the tokusatsu film Space Great Demon God, based on the original work by Dekisugi-kun. Gian plays the role.","TenComi Volume 20, Page 174; FF Land Volume 27, Page 97; Complete Works Volume 9, Page 368",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Space Detective Saraba,Space Detective Farewell,TV Hero,The main character of the TV show Space Detective Saraba. He fought against a space monster but was defeated by the effect of the One-Shot Reversal Bomb.,"Plus Volume 3, Page 73; Complete Works Volume 14, Page 349",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Space Pilot,,TV Character,"A pilot who set out to explore a star far from Earth appeared on TV Nobita and his friends watched. He returned to Earth after one year, but because he traveled at near light speed, fifty years passed on Earth. He was surprised by how much Earth had changed.","TenComi Volume 25, Page 145; FF Land Volume 27, Page 4; Complete Works Volume 10, Page 355",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grandson of a Space Pilot,Space Pilot's Grandchild,TV Character,The person who appeared on TV welcoming the space pilot back to Earth at the airport.,"TenComi Volume 25, Page 145; FF Land Volume 27, Page 4; Complete Works Volume 10, Page 355",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
